わたし,I
あぶない,dangerous
いたい,painful
ねむい,sleepy
つよい,strong
よわい,weak
すごい,amazing
たいせつな,important
だいじょうぶ,all right
むりな,impossible
ふべんな,inconvenient
むだな,wasteful
までに,by (time)
いちど,once
いちども,never
だんだん,gradually
もうすぐ,soon
なんかいも,many times
さいきん,recently
たぶん,probably
きっと,surely
ほんとうに,really
じぶんで,by oneself
ですから,therefore
しかし,but
けど,but (informal)
ほかに,besides
どうしましたか,what's the matter
おだいじに,take care
なかなか,not easily
ほんとう,really
ぜひ,by all means
ちょうしがよい,in good condition
ちょうしがわるい,in bad condition
からだによい,good for health
おかげさまで,thank you
かんぱい,cheers
じつは,actually
うん,yes (informal)
ううん,no (informal)
について,about/concerning
ごちそうさまでした,thanks for the meal
おせわになりました,thank you for everything
どうぞおげんきで,best of luck
はらいます,pay
もっていきます,take (something)
ぬぎます,take off (clothes)
わすれます,forget
もってきます,bring (something)
しんぱいします,worry
ざんぎょうします,work overtime
しゅっちょうします,business trip
あらいます,wash
うたいます,sing
ひきます,play (instrument)
かえます,change
できます,can/do
すてます,throw away
あつめます,collect
うんてんします,drive
よやくします,reserve
けんがくします,visit (for study)
のぼります,climb
とまります,stay overnight
なります,become
そうじします,clean
せんたくします,do laundry
れんしゅうします,practice
おもいます,think
いいます,say
かちます,win
やくにたつ,be useful
まけます,lose
たります,be enough
はきます,wear (shoes, socks)
かけます,put on (glasses)
うまれます,be born
ひきます,play (string instrument)
うごきます,move
あるきます,walk
まわします,turn (something)
さわります,touch
わたります,cross
きをつけます,be careful
ひっこしします,move (residence)
つれていきます,take (someone)
つれてきます,bring (someone)
しょうかいします,introduce
あんないします,guide
せつめいします,explain
つきます,arrive
かんがえます,think/consider
りゅうがくします,study abroad
がんばります,do one's best
あぶない,dangerous
いたい,painful
ねむい,sleepy
つよい,strong
よわい,weak
すごい,amazing
たいせつな,important
だいじょうぶ,all right
むりな,impossible
ふべんな,inconvenient
むだな,wasteful
までに,by (time)
いちど,once
いちども,never
もうすぐ,soon
なんかいも,many times
さいきん,recently
たぶん,probably
ほんとうに,really
じぶんで,by oneself
ですから,therefore
しかし,but
〜けど,but
ほかに,besides
どうしましたか,what's wrong?
おだいじに,take care
ほんとう,really
ぜひ,please (strongly)
ちょうしがよい,feeling well
ちょうしがわるい,feeling unwell
からだによい,good for health
おかげさまで,thanks to you
かんぱい,cheers
じつは,actually
はい,yes
いいえ,no
スーパー,supermarket
タクシー,taxi
ひと,person
ひと,people
うちわ,fan (Japanese)
ロビー,lobby
ゆうびん,mail
だいがくいん,graduate school
ぼうし,hat
めがね,glasses
アイスクリーム,ice cream
サンドイッチ,sandwich
カレーライス,curry and rice
りんご,apple
みかん,orange
ビデオ,video
テープレコーダー,tape recorder
ワープロ,word processor
パンチ,hole punch
パソコン,personal computer
ホッチキス,stapler
セロテープ,scotch tape
コンサート,concert
カラオケ,karaoke
かぶき,kabuki
クラシック,classical music
ジャズ,jazz
かんじ,kanji character
ひらがな,hiragana
チケット,ticket
じかん,time
ようじ,something to do/errand
やくそく,appointment
ごしゅじん,husband (polite)
しゅじん,my husband
おくさん,wife (polite)
おっと,my husband
つま,my wife
かない,my wife
こども,child
おとこのこ,boy
おんなのこ,girl
おとこのひと,man
おんなのひと,woman
いぬ,dog
ねこ,cat
き,tree/wood
もの,thing
フィルム,film
でんち,battery
はこ,box
スイッチ,switch
れいぞうこ,refrigerator
テーブル,table
ベッド,bed
ドア,door
まど,window
ポスト,mailbox
ビル,building
こうえん,park
きっさてん,coffee shop
ほんや,bookstore
みせ,store
のりば,bus stop/station
おく,back
けん,prefecture
うえ,above/on
した,below/under
まえ,front/before
うしろ,behind
みぎ,right
ひだり,left
なか,inside
そと,outside
となり,next door
ちかく,near
あいだ,between
いちばん,the most
データ,data
しりょう,materials
カタログ,catalog
じこくひょう,timetable
ふく,clothes
せいひん,products
ソフト,software
せんもん,specialty
はいしゃ,dentist
とこや,barber
プレイガイド,ticket agency
どくしん,unmarried
こうこう,high school
からだ,body
あたま,head
かみ,hair
かお,face
め,eye
みみ,ear
くち,mouth
は,tooth
あし,leg/foot
